describe,evaluate,introduce,movie_name,serial_number,star
关于连环杀人悬案的集体回忆。,513136人评价,"导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚",杀人回忆,95,8.8
法式小清新。 ,808760人评价,"导演: 让-皮埃尔·热内 Jean-Pierre Jeunet 主演: 奥黛丽·塔图 Audrey Tau...,2001 / 法国 德国 / 喜剧 爱情",天使爱美丽,96,8.7
人言可畏。,280440人评价,"导演: 托马斯·温特伯格 Thomas Vinterberg 主演: 麦斯·米科尔森 Mads Mik...,2012 / 丹麦 瑞典 / 剧情",狩猎,97,9.1
每个人心中都有一座断背山。,566930人评价,"导演: 李安 Ang Lee 主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005 / 美国 加拿大 / 剧情 爱情 同性 家庭",断背山,98,8.8
沉醉在电影的情感和视听氛围中无法自拔。,502675人评价,"导演: 卢卡·瓜达尼诺 Luca Guadagnino 主演: 艾米·汉莫 Armie Hammer / ...,2017 / 意大利 法国 巴西 美国 荷兰 德国 / 剧情 爱情 同性",请以你的名字呼唤我,99,8.9
《我是山姆》的《美丽人生》。,409753人评价,"导演: 李焕庆 Hwan-kyeong Lee 主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013 / 韩国 / 剧情 喜剧 家庭",7号房的礼物,100,8.9
梦的勾结。,315111人评价,"导演: 今敏 Satoshi Kon 主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006 / 日本 / 动画 悬疑 科幻 惊悚",红辣椒,101,9.0
人与自然的战争史诗。,417632人评价,"导演: 宫崎骏 Hayao Miyazaki 主演: 松田洋治 Yôji Matsuda / 石田百合...,1997 / 日本 / 动画 奇幻 冒险",幽灵公主,102,8.9
那些静得只能听见呼吸的日子里，你明白孤独即生活。,324122人评价,"导演: 森淳一 Junichi Mori 主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014 / 日本 / 剧情",小森林 夏秋篇,103,9.0
一场华丽的意淫。,481616人评价,"导演: 姜文 Wen Jiang 主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994 / 中国大陆 中国香港 / 剧情 爱情",阳光灿烂的日子,104,8.8
